business_id,business_name,category,quarter,count,rating,quarter123
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),10-Jan,25,3.5,1-Jan-10
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),10-Jan,21,4,1-Jan-10
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),10-Jan,3,5,1-Jan-10
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),10-Jan,29,4.2,1-Jan-10
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),10-Jan,25,4,1-Jan-10
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),10-Jan,54,3.9,1-Jan-10
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),10-Jan,8,3.8,1-Jan-10
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),10-Jan,22,2.6,1-Jan-10
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),10-Jan,45,3.9,1-Jan-10
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),10-Jan,3,4,1-Jan-10
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),10-Jan,21,3.4,1-Jan-10
GI-CAiZ_Gg3h21PwrANB4Q,Mastro's Ocean Club,American (Traditional),10-Jan,10,4.7,1-Jan-10
#NAME?,MGM Grand Buffet,American (Traditional),10-Jan,23,2.3,1-Jan-10
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),10-Jan,13,3.2,1-Jan-10
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),10-Jan,9,4.1,1-Jan-10
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,American (Traditional),10-Jan,93,3.3,1-Jan-10
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),10-Jan,17,3.9,1-Jan-10
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),10-Jan,34,4,1-Jan-10
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),10-Jan,16,3.5,1-Jan-10
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),10-Jan,13,4.2,1-Jan-10
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),11-Jan,75,4,1-Jan-11
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),11-Jan,17,3,1-Jan-11
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),11-Jan,68,3.8,1-Jan-11
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),11-Jan,20,3.5,1-Jan-11
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),11-Jan,33,3,1-Jan-11
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),11-Jan,25,3.2,1-Jan-11
qqs7LP4TXAoOrSlaKRfz3A,DW Bistro,American (Traditional),11-Jan,16,4.3,1-Jan-11
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),11-Jan,28,4.6,1-Jan-11
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),11-Jan,13,4.2,1-Jan-11
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),11-Jan,37,3.8,1-Jan-11
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),11-Jan,28,3.8,1-Jan-11
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),11-Jan,56,3.8,1-Jan-11
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),11-Jan,11,3.7,1-Jan-11
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,American (Traditional),11-Jan,97,3.8,1-Jan-11
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),11-Jan,31,2,1-Jan-11
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),11-Jan,67,4,1-Jan-11
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),11-Jan,10,3.4,1-Jan-11
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),11-Jan,39,3.4,1-Jan-11
GI-CAiZ_Gg3h21PwrANB4Q,Mastro's Ocean Club,American (Traditional),11-Jan,22,4,1-Jan-11
#NAME?,MGM Grand Buffet,American (Traditional),11-Jan,20,2,1-Jan-11
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),11-Jan,24,3.4,1-Jan-11
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),11-Jan,16,4.3,1-Jan-11
C9ImzBi5fn742ZcAYDww2A,Rise & Shine - A Steak & Egg Place,American (Traditional),11-Jan,11,4.1,1-Jan-11
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,American (Traditional),11-Jan,149,3.1,1-Jan-11
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),11-Jan,23,4,1-Jan-11
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),11-Jan,37,4,1-Jan-11
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),11-Jan,24,4.1,1-Jan-11
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),11-Jan,25,4.1,1-Jan-11
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),12-Jan,49,4.3,1-Jan-12
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),12-Jan,44,4.4,1-Jan-12
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),12-Jan,12,2.8,1-Jan-12
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),12-Jan,55,3.7,1-Jan-12
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),12-Jan,20,3.4,1-Jan-12
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),12-Jan,28,3.6,1-Jan-12
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),12-Jan,28,3.3,1-Jan-12
qqs7LP4TXAoOrSlaKRfz3A,DW Bistro,American (Traditional),12-Jan,38,4.3,1-Jan-12
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),12-Jan,32,4.2,1-Jan-12
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),12-Jan,16,3.9,1-Jan-12
a0v7Si0DK4cIko7AQY4YXg,Egg Works,American (Traditional),12-Jan,14,4.1,1-Jan-12
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),12-Jan,55,4.1,1-Jan-12
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),12-Jan,42,3.7,1-Jan-12
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),12-Jan,62,3.9,1-Jan-12
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),12-Jan,18,2.9,1-Jan-12
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),12-Jan,16,3.3,1-Jan-12
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,American (Traditional),12-Jan,123,3.9,1-Jan-12
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),12-Jan,29,2.6,1-Jan-12
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),12-Jan,44,4.2,1-Jan-12
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),12-Jan,12,4.2,1-Jan-12
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),12-Jan,26,3.7,1-Jan-12
GI-CAiZ_Gg3h21PwrANB4Q,Mastro's Ocean Club,American (Traditional),12-Jan,39,4.3,1-Jan-12
#NAME?,MGM Grand Buffet,American (Traditional),12-Jan,6,2.3,1-Jan-12
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),12-Jan,27,3.3,1-Jan-12
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),12-Jan,10,3.9,1-Jan-12
C9ImzBi5fn742ZcAYDww2A,Rise & Shine - A Steak & Egg Place,American (Traditional),12-Jan,15,3.7,1-Jan-12
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,American (Traditional),12-Jan,122,3.2,1-Jan-12
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),12-Jan,27,4,1-Jan-12
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),12-Jan,64,4.1,1-Jan-12
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),12-Jan,26,3.9,1-Jan-12
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),12-Jan,31,4,1-Jan-12
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),13-Jan,37,4.2,1-Jan-13
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),13-Jan,34,3.9,1-Jan-13
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),13-Jan,13,3.4,1-Jan-13
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),13-Jan,60,3.8,1-Jan-13
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),13-Jan,7,3.3,1-Jan-13
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),13-Jan,29,3.3,1-Jan-13
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),13-Jan,28,2.6,1-Jan-13
qqs7LP4TXAoOrSlaKRfz3A,DW Bistro,American (Traditional),13-Jan,37,4.4,1-Jan-13
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),13-Jan,31,4.1,1-Jan-13
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),13-Jan,13,4.4,1-Jan-13
a0v7Si0DK4cIko7AQY4YXg,Egg Works,American (Traditional),13-Jan,12,3.2,1-Jan-13
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),13-Jan,46,3.7,1-Jan-13
cYwJA2A6I12KNkm2rtXd5g,Gordon Ramsay BurGR,American (Traditional),13-Jan,179,3.7,1-Jan-13
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),13-Jan,21,3.7,1-Jan-13
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),13-Jan,61,3.9,1-Jan-13
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),13-Jan,31,2.3,1-Jan-13
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),13-Jan,21,2.9,1-Jan-13
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,American (Traditional),13-Jan,100,3.8,1-Jan-13
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),13-Jan,22,2.6,1-Jan-13
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),13-Jan,45,4.4,1-Jan-13
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),13-Jan,19,3.8,1-Jan-13
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),13-Jan,24,3.7,1-Jan-13
GI-CAiZ_Gg3h21PwrANB4Q,Mastro's Ocean Club,American (Traditional),13-Jan,40,4.5,1-Jan-13
#NAME?,MGM Grand Buffet,American (Traditional),13-Jan,19,2.8,1-Jan-13
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),13-Jan,17,2.4,1-Jan-13
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),13-Jan,24,4,1-Jan-13
C9ImzBi5fn742ZcAYDww2A,Rise & Shine - A Steak & Egg Place,American (Traditional),13-Jan,21,4.2,1-Jan-13
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,American (Traditional),13-Jan,103,3.1,1-Jan-13
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),13-Jan,40,4.4,1-Jan-13
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),13-Jan,53,3.7,1-Jan-13
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),13-Jan,27,3.8,1-Jan-13
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),13-Jan,26,3.7,1-Jan-13
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),14-Jan,68,4,1-Jan-14
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),14-Jan,41,4.4,1-Jan-14
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),14-Jan,25,2.8,1-Jan-14
iIwKW2cBAxjElE8eUzjwqA,Bobby's Burger Palace,American (Traditional),14-Jan,60,3.6,1-Jan-14
nUpz0YiBsOK7ff9k3vUJ3A,Buddy V's Ristorante,American (Traditional),14-Jan,55,3.2,1-Jan-14
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),14-Jan,88,3.8,1-Jan-14
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),14-Jan,21,3,1-Jan-14
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),14-Jan,19,3.1,1-Jan-14
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),14-Jan,30,3.9,1-Jan-14
qqs7LP4TXAoOrSlaKRfz3A,DW Bistro,American (Traditional),14-Jan,52,4.5,1-Jan-14
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),14-Jan,67,4.4,1-Jan-14
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),14-Jan,37,4.5,1-Jan-14
a0v7Si0DK4cIko7AQY4YXg,Egg Works,American (Traditional),14-Jan,43,4.6,1-Jan-14
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),14-Jan,60,3.9,1-Jan-14
cYwJA2A6I12KNkm2rtXd5g,Gordon Ramsay BurGR,American (Traditional),14-Jan,282,3.9,1-Jan-14
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),14-Jan,31,4,1-Jan-14
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),14-Jan,69,3.7,1-Jan-14
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),14-Jan,25,3,1-Jan-14
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),14-Jan,10,3.8,1-Jan-14
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,American (Traditional),14-Jan,122,4,1-Jan-14
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),14-Jan,40,2.3,1-Jan-14
UNI1agsPX2k3eJSJVB91nw,Hot N Juicy Crawfish,American (Traditional),14-Jan,49,3.8,1-Jan-14
DbEszO3wk1xVmN3pCPob2g,Jamms Restaurant,American (Traditional),14-Jan,28,3.9,1-Jan-14
rTS8LsUmNIiXsXydE49tPA,Margaritaville,American (Traditional),14-Jan,39,3.6,1-Jan-14
GI-CAiZ_Gg3h21PwrANB4Q,Mastro's Ocean Club,American (Traditional),14-Jan,55,4.4,1-Jan-14
#NAME?,MGM Grand Buffet,American (Traditional),14-Jan,30,3,1-Jan-14
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,American (Traditional),14-Jan,19,2.6,1-Jan-14
Qc0l8rZ3nvrcERitgxu8XA,Omelet House,American (Traditional),14-Jan,27,4.1,1-Jan-14
C9ImzBi5fn742ZcAYDww2A,Rise & Shine - A Steak & Egg Place,American (Traditional),14-Jan,42,4.1,1-Jan-14
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,American (Traditional),14-Jan,151,3,1-Jan-14
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,American (Traditional),14-Jan,36,4.2,1-Jan-14
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,American (Traditional),14-Jan,86,3.9,1-Jan-14
R_ZlcX46pPdjhjmfd043LA,Top of the World,American (Traditional),14-Jan,38,3.6,1-Jan-14
A5Rkh7UymKm0_Rxm9K2PJw,Yard House,American (Traditional),14-Jan,41,4,1-Jan-14
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,American (Traditional),15-Jan,48,4,1-Jan-15
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,American (Traditional),15-Jan,33,4.1,1-Jan-15
PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,American (Traditional),15-Jan,25,2.8,1-Jan-15
iIwKW2cBAxjElE8eUzjwqA,Bobby's Burger Palace,American (Traditional),15-Jan,63,3.6,1-Jan-15
nUpz0YiBsOK7ff9k3vUJ3A,Buddy V's Ristorante,American (Traditional),15-Jan,50,3.6,1-Jan-15
Cni2l-VKG_pdospJ6xliXQ,Burger Bar,American (Traditional),15-Jan,48,3.8,1-Jan-15
JTFFtWy_chbsHTs95yD_2Q,Cafe Bellagio,American (Traditional),15-Jan,26,2.9,1-Jan-15
zU9w_xRlQSRIYXxGo-HSOA,Carnegie,American (Traditional),15-Jan,38,2.7,1-Jan-15
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,American (Traditional),15-Jan,41,3.3,1-Jan-15
qqs7LP4TXAoOrSlaKRfz3A,DW Bistro,American (Traditional),15-Jan,47,4.5,1-Jan-15
3kdSl5mo9dWC4clrQjEDGg,Egg & I,American (Traditional),15-Jan,119,4.4,1-Jan-15
PXShA3JZMXr2mEH3on5clw,Egg Works,American (Traditional),15-Jan,72,4.4,1-Jan-15
a0v7Si0DK4cIko7AQY4YXg,Egg Works,American (Traditional),15-Jan,54,4.5,1-Jan-15
EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino & Brewery,American (Traditional),15-Jan,87,3.9,1-Jan-15
cYwJA2A6I12KNkm2rtXd5g,Gordon Ramsay BurGR,American (Traditional),15-Jan,336,3.9,1-Jan-15
fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,American (Traditional),15-Jan,25,3.9,1-Jan-15
NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,American (Traditional),15-Jan,72,3.6,1-Jan-15
HhVmDybpU7L50Kb5A0jXTg,Guy Fieri's Vegas Kitchen & Bar,American (Traditional),15-Jan,196,3.2,1-Jan-15
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),15-Jan,41,2.7,1-Jan-15
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,American (Traditional),15-Jan,35,4.3,1-Jan-15
P7pxQFqr7yBKMMI2J51udw,Holsteins Shakes and Buns,American (Traditional),15-Jan,123,3.8,1-Jan-15
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,American (Traditional),15-Jan,51,2,1-Jan-15
